pakketnummer,pakketnaam,pokon,doosnummers
11.0p,Fruitbomen x 3,ja,5
11.1,Fruitbomen x 5,nee,5
11.1p,Fruitbomen x 5,ja,5
11.2,Fruitbomen x 10,nee,6
11.2p,Fruitbomen x 10,ja,6
11.3,Appel Jonagold x3,nee,5
11.3p,Appel Jonagold x3,ja,5
11.4,Peer Conference x3,nee,5
11.4p,Peer Conference x3,ja,5
11.5,Kers Schattenmorelle x3,nee,5
11.5p,Kers Schattenmorelle x3,ja,5
11.6,Pruim Opal x3,nee,5
11.6p,Pruim Opal x3,ja,5
11.7,Perzik Red heaven x3,nee,5
11.7p,Perzik Red heaven x3,ja,5
12.1,Photinia frag. Carre Rouge x2,nee,3
12.1p,Photinia frag. Carre Rouge x2,ja,3
12.2,Photinia frag. Carre Rouge x4,nee,4
12.2p,Photinia frag. Carre Rouge x4,ja,4
13.1,Buddleja x 3,nee,15
13.1p,Buddleja x 3,ja,14 + 15
13.2,Buddleja x 6,nee,14
13.2p,Buddleja x 6,ja,2
13.3,Buddleja davidii purpurrood x3,nee,15
13.3p,Buddleja davidii purpurrood x3,ja,14 + 15
13.4,Buddleja davidii wit x3,nee,15
13.4p,Buddleja davidii wit x3,ja,14 + 15
13.5,Buddleja davidii roze x3,nee,15
13.5p,Buddleja davidii roze x3,ja,14 + 15
13.6,Buddleja davidii zwart/violet x3,nee,15
13.6p,Buddleja davidii zwart/violet x3,ja,14 + 15
13.7,Buddleja davidii mix x8,nee,2
13.7p,Buddleja davidii mix x8,ja,12
14.1,Sierheesters x 4,nee,1
14.1p,Sierheesters x 4,ja,14
14.2,Sierheesters x 8,nee,2
14.2p,Sierheesters x 8,ja,12
15.1,Super Fruit Mix x 25,nee,14
15.1p,Super Fruit Mix x 25,ja,2
16.1,Notenplanten mix x 4,nee,3
16.1p,Notenplanten mix x 4,ja,4
16.2,Notenplanten mix x 8,nee,4
16.2p,Notenplanten mix x 8,ja,4
16.3,Kastanje + Walnoot set,nee,3
16.3p,Kastanje + Walnoot set,ja,3
16.4,Kastanje + Hazelnoot set,nee,3
16.4p,Kastanje + Hazelnoot set,ja,3
16.5,Walnoot + Hazelnoot set,nee,3
16.5p,Walnoot + Hazelnoot set,ja,3
16.6,Kastanje x 2,nee,3
16.6p,Kastanje x 2,ja,3
16.7,Walnoot x 2,nee,3
16.7p,Walnoot x 2,ja,3
16.8,Hazelnoot x 2,nee,3
16.8p,Hazelnoot x 2,ja,3
16.9,Japanse Notenboom x 2,nee,3
16.9p,Japanse Notenboom x 2,ja,3
17.1,Fruitbomen XXL x 5,nee,13
17.1p,Fruitbomen XXL x 5,ja,13
17.2,Fruitbomen XXL x 3,nee,13
17.2p,Fruitbomen XXL x 3,ja,13
17.3,Appel Jonagold x3,nee,13
17.3p,Appel Jonagold x3,ja,13
17.4,Peer Conference x3,nee,13
17.4p,Peer Conference x3,ja,13
17.5,Kers Kordia Zoet x3,nee,13
17.5p,Kers Kordia Zoet x3,ja,13
17.6,Kers Rheinische Schattenmorelle Zuur x3,nee,13
17.6p,Kers Rheinische Schattenmorelle Zuur x3,ja,13
17.7,Pruim Hauszwetsche x3,nee,13
17.7p,Pruim Hauszwetsche x3,ja,13
18.1,Stamrozen ROOD XXL x 3,nee,13
18.1p,Stamrozen ROOD XXL x 3,ja,13
18.2,Stamrozen ROZE XXL x 3,nee,13
18.2p,Stamrozen ROZE XXL x 3,ja,13
18.3,Stamrozen WIT XXL x 3,nee,13
18.3p,Stamrozen WIT XXL x 3,ja,13
18.4,Stamrozen 3-kleuren mix XXL x 3,nee,13
18.4p,Stamrozen 3-kleuren mix XXL x 3,ja,13
18.5,Stamrozen 3-kleuren mix XXL x 3 v2,nee,13
18.5p,Stamrozen 3-kleuren mix XXL x 3 v2,ja,13
18.6,Stamrozen 2-COLOUR XXL x 3,nee,13
18.6p,Stamrozen 2-COLOUR XXL x 3,ja,13
18.7,Stamrozen GEEL XXL x3,nee,13
18.7p,Stamrozen GEEL XXL x3,ja,13
18.8,Stamrozen ORANJE XXL x3,nee,13
18.8p,Stamrozen ORANJE XXL x3,ja,13
19.0,Salix Integra 'Hakuro Nishiki' XXL x 1,nee,13
19.0p,Salix Integra 'Hakuro Nishiki' XXL x 1,ja,13
19.1,Salix Integra 'Hakuro Nishiki' XXL x 2,nee,13
19.1p,Salix Integra 'Hakuro Nishiki' XXL x 2,ja,13
19.2,Salix Integra 'Hakuro Nishiki' XXL x 4,nee,13
19.2p,Salix Integra 'Hakuro Nishiki' XXL x 4,ja,13
21.0,Prunus Triloba XXL x 1,nee,13
21.0p,Prunus Triloba XXL x 1,ja,13
21.1,Prunus Triloba XXL x 2,nee,13
21.1p,Prunus Triloba XXL x 2,ja,13
21.2,Prunus Triloba XXL x 4,nee,13
21.2p,Prunus Triloba XXL x 4,ja,13
22.1,Eucalyptus Gunnii Azura op stam x1,nee,3
22.1p,Eucalyptus Gunnii Azura op stam x1,ja,3
22.2,Eucalyptus Gunnii Azura op stam x2,nee,3
22.2p,Eucalyptus Gunnii Azura op stam x2,ja,3
23.1,"Salix integra ""Flamingo"" struik x3",nee,8
23.1p,"Salix integra ""Flamingo"" struik x3",ja,8
23.2,"Salix integra ""Flamingo"" struik x6",nee,9
23.2p,"Salix integra ""Flamingo"" struik x6",ja,9
23.3,"Salix integra ""Flamingo"" op stam x 1",nee,10
23.3p,"Salix integra ""Flamingo"" op stam x 1",ja,10
23.4,"Salix integra ""Flamingo"" op stam x 2",nee,10
23.4p,"Salix integra ""Flamingo"" op stam x 2",ja,10
24.1,Photinia fras. 'Red Robin' x3,nee,15
24.1p,Photinia fras. 'Red Robin' x3,ja,14 + 15
24.2,Photinia fras. 'Red Robin' x6,nee,14
24.2p,Photinia fras. 'Red Robin' x6,ja,2
25.1,Kiwi 'Jenny' x3,nee,15
25.1p,Kiwi 'Jenny' x3,ja,14 + 15
25.2,Kiwi 'Jenny' x6,nee,14
25.2p,Kiwi 'Jenny' x6,ja,2
26.1,Bessen op stam x 4,nee,11
26.1p,Bessen op stam x 4,ja,11
26.2,Rode Aalbes op stam x 2,nee,11
26.2p,Rode Aalbes op stam x 2,ja,11
26.3,Zwarte Aalbes op stam x 2,nee,11
26.3p,Zwarte Aalbes op stam x 2,ja,11
26.4,Witte Aalbes op stam x 2,nee,11
26.4p,Witte Aalbes op stam x 2,ja,11
26.5,Rode Kruisbes op stam x 2,nee,11
26.5p,Rode Kruisbes op stam x 2,ja,11
27.1,Aardbeien Frigoplanten x 20,nee,15
27.1p,Aardbeien Frigoplanten x 20,ja,15
27.2,Aardbeien Frigoplanten x 40,nee,15
27.2p,Aardbeien Frigoplanten x 40,ja,15
27.3,Aardbeien Frigoplanten x 60,nee,15
27.3p,Aardbeien Frigoplanten x 60,ja,15
28.1,Geënte druivenplanten x 4,nee,3
28.1p,Geënte druivenplanten x 4,ja,4
28.2,Geënte druivenplanten x 2,nee,3
28.2p,Geënte druivenplanten x 2,ja,3
28.3,Geënte druivenplanten x 2,nee,3
28.3p,Geënte druivenplanten x 2,ja,3
29.1,Vitamine planten x 4,nee,1
29.1p,Vitamine planten x 4,ja,14
29.2,Vitamine planten x 8,nee,2
29.2p,Vitamine planten x 8,ja,12
30.1,Gojibes x4,nee,1
30.1p,Gojibes x4,ja,14
31.0,Klimhortensia x 2,nee,15
31.0p,Klimhortensia x 2,ja,14 + 15
31.1,Klimhortensia x 4,nee,1
31.1p,Klimhortensia x 4,ja,14
31.2,Klimhortensia x 8,nee,2
