pakketnummer,pakketnaam,pokon,doosnummers
310.2p,Acer palm. 'Garnet' x1 - P24,ja,KB
330.1,Buddleja Butterfly Candy® 'Little Magenta' x1 - P19,nee,3
330.1p,Buddleja Butterfly Candy® 'Little Magenta' x1 - P19,ja,3
330.2,Buddleja Butterfly Candy® 'Little Magenta' x2 - P19,nee,3
330.2p,Buddleja Butterfly Candy® 'Little Magenta' x2 - P19,ja,3
331.1,Buddleja Butterfly Candy® 'Little Pink' x1 - P19,nee,3
331.1p,Buddleja Butterfly Candy® 'Little Pink' x1 - P19,ja,3
331.2,Buddleja Butterfly Candy® 'Little Pink' x2 - P19,nee,3
331.2p,Buddleja Butterfly Candy® 'Little Pink' x2 - P19,ja,3
332.1,Buddleja Butterfly Candy® 'Little Ruby' x1 - P19,nee,3
332.1p,Buddleja Butterfly Candy® 'Little Ruby' x1 - P19,ja,3
332.2,Buddleja Butterfly Candy® 'Little Ruby' x2 - P19,nee,3
332.2p,Buddleja Butterfly Candy® 'Little Ruby' x2 - P19,ja,3
333.1,Buddleja Butterfly Candy® 'Little White' x1 - P19,nee,3
333.1p,Buddleja Butterfly Candy® 'Little White' x1 - P19,ja,3
333.2,Buddleja Butterfly Candy® 'Little White' x2 - P19,nee,3
333.2p,Buddleja Butterfly Candy® 'Little White' x2 - P19,ja,3
340.1,Nandina dom. 'Magical Lemon and Lime' x1 - P15,nee,3
340.1p,Nandina dom. 'Magical Lemon and Lime' x1 - P15,ja,3
340.2,Nandina dom. 'Magical Lemon and Lime' x2- P15,nee,3
340.2p,Nandina dom. 'Magical Lemon and Lime' x2- P15,ja,3
341.1,Nandina dom. 'Magical Sunrise' x1- P15,nee,3
341.1p,Nandina dom. 'Magical Sunrise' x1- P15,ja,3
341.2,Nandina dom. 'Magical Sunrise' x2- P15,nee,3
341.2p,Nandina dom. 'Magical Sunrise' x2- P15,ja,3
342.1,Nandina dom. 'Obsessed' x1- P15,nee,3
342.1p,Nandina dom. 'Obsessed' x1- P15,ja,3
342.2,Nandina dom. 'Obsessed' x2- P15,nee,3
342.2p,Nandina dom. 'Obsessed' x2- P15,ja,3
343.1,Nandina dom. 'Twilight' x1- P15,nee,3
343.1p,Nandina dom. 'Twilight' x1- P15,ja,3
343.2,Nandina dom. 'Twilight' x2- P15,nee,3
343.2p,Nandina dom. 'Twilight' x2- P15,ja,3
345.1,Nandina dom. 'Magical Lemon and Lime' x1 - P19,nee,3
345.1p,Nandina dom. 'Magical Lemon and Lime' x1 - P19,ja,3
345.2,Nandina dom. 'Magical Lemon and Lime' x2 - P19,nee,3
345.2p,Nandina dom. 'Magical Lemon and Lime' x2 - P19,ja,3
346.1,Nandina dom. 'Magical Sunrise' x1 - P19,nee,3
346.1p,Nandina dom. 'Magical Sunrise' x1 - P19,ja,3
346.2,Nandina dom. 'Magical Sunrise' x2 - P19,nee,3
346.2p,Nandina dom. 'Magical Sunrise' x2 - P19,ja,3
347.1,Nandina dom. 'Obsessed' x1 - P19,nee,3
347.1p,Nandina dom. 'Obsessed' x1 - P19,ja,3
347.2,Nandina dom. 'Obsessed' x2 - P19,nee,3
347.2p,Nandina dom. 'Obsessed' x2 - P19,ja,3
348.1,Nandina dom. 'Twilight' x1 - P19,nee,3
348.1p,Nandina dom. 'Twilight' x1 - P19,ja,3
348.2,Nandina dom. 'Twilight' x2 - P19,nee,3
348.2p,Nandina dom. 'Twilight' x2 - P19,ja,3
T001,Camellia japonica P19 Roze - x 1,nee,3
T001p,Camellia japonica P19 Roze - x 1,ja,3
T002,Camellia japonica P19 Roze - x 2,nee,10
T002p,Camellia japonica P19 Roze - x 2,ja,10
T003,Camellia japonica P19 Wit - x 1,nee,3
T003p,Camellia japonica P19 Wit - x 1,ja,3
T004,Camellia japonica P19 Wit - x 2,nee,10
T004p,Camellia japonica P19 Wit - x 2,ja,10
T005,Camellia japonica P19 Mix x 2 (1x Wit + 1x Roze),nee,10
T005p,Camellia japonica P19 Mix x 2 (1x Wit + 1x Roze),ja,10
T006,Acer palm. 'Atropurpureum' Bonsai P23 - patio,nee,KB
T006p,Acer palm. 'Atropurpureum' Bonsai P23 - patio,ja,KB
T007,Acer palm. 'Beni-maiko' Bonsai P23 - patio,nee,KB
T007p,Acer palm. 'Beni-maiko' Bonsai P23 - patio,ja,KB
T008,Acer palm. 'Katsura' Bonsai P23 - patio,nee,KB
T008p,Acer palm. 'Katsura' Bonsai P23 - patio,ja,KB
T009,Acer palm. 'Little Princess' Bonsai P23 - patio,nee,KB
T009p,Acer palm. 'Little Princess' Bonsai P23 - patio,ja,KB
T010,Lavendel C2 x 4,nee,4
T010p,Lavendel C2 x 4,ja,4
T011,Lavendel C2 x 6,nee,EUR40
T011p,Lavendel C2 x 6,ja,EUR40
T012,Lavendel C2 x 8,nee,EUR40
T012p,Lavendel C2 x 8,ja,EUR40
101.1,Tropische oleander planten x 4 (roze),nee,1
101.2p,Tropische oleander planten x 8 (roze),ja,12
101.1p,Tropische oleander planten x 4 (roze),ja,14
101.0,Tropische oleander planten x 2 (roze),nee,15
101.0p,Tropische oleander planten x 2 (roze),ja,1
101.2,Tropische oleander planten x 8 (roze),nee,2
101.3,Tropische oleander planten x 2 (wit),nee,15
101.3p,Tropische oleander planten x 2 (wit),ja,1
101.4,Tropische oleander planten x 4 (wit),nee,1
101.4p,Tropische oleander planten x 4 (wit),ja,14
101.5,Tropische oleander planten x 8 (wit),nee,2
101.5p,Tropische oleander planten x 8 (wit),ja,12
111.1,Spathiphyllum Korto P12 x 2,nee,1
111.2,Coffea arabica P12 x 2,nee,1
111.2p,Coffea arabica P12 x 2,ja,14
111.1p,Spathiphyllum Korto P12 x 2,ja,14
